id	iata	name	country	latitude	longitude
1492	CPX	Benjamín Rivera Noriega Airport	United States	18.312464	-65.30389
1514	CRP	Corpus Christi International Airport	United States	27.772423	-97.50218
1521	CRW	Yeager Airport	United States	38.37145	-81.59349
1531	CSG	Columbus Airport	United States	39.99994	-82.88718
1600	CVG	Cincinnati/Northern Kentucky International Airport	United States	39.053276	-84.66302
1606	CVN	Clovis Municipal Airport	United States	34.426548	-103.078514
1612	CWA	Central Wisconsin Airport	United States	44.784203	-89.67268
1642	CYF	Chefornak Airport 	United States	60.137936	-164.28207
1650	CYS	Cheyenne Regional Airport 	United States	41.150124	-104.80806
1666	CZN	Chisana Airport	United States	62.071514	-142.04922
1676	DAB	Daytona Beach International Airport	United States	29.183214	-81.05323
1683	DAL	Dallas Love Field	United States	32.848103	-96.851204
1694	DAY	Dayton International Airport	United States	39.902523	-84.22177
1705	DBQ	Dubuque Regional Airport	United States	42.39384	-90.70062
1711	DCA	Ronald Reagan Washington National Airport	United States	38.851242	-77.04023
1721	DDC	Dodge City Regional Airport	United States	37.765873	-99.9669
1728	DEC	Decatur Airport	United States	39.834724	-88.866394
1736	DEN	Denver International Airport	United States	39.8561	-104.67374
1745	DFW	Dallas/Fort Worth International Airport	United States	32.89981	-97.04034
1768	DHN	Dothan Regional Airport	United States	31.321655	-85.45243
1775	DIK	Dickinson Theodore Roosevelt Regional Airport	United States	46.801666	-102.792885
1794	DJN	Delta Junction Airport 	United States	64.05133	-145.72963
1808	DLG	Dillingham Airport	United States	59.04594	-158.50444
1809	DLH	Duluth International Airport	United States	46.84211	-92.18754
1887	DRG	Deering Airport 	United States	66.06844	-162.76732
1893	DRO	Durango–La Plata County Airport	United States	37.150608	-107.75326
1896	DRT	Del Rio International Airport	United States	29.370586	-100.92021
1906	DSI	Destin Executive Airport 	United States	30.39666	-86.47098
1908	DSM	Des Moines International Airport	United States	41.534134	-93.6588
1926	DTW	Detroit Metropolitan Wayne County Airport	United States	42.21617	-83.355385
1934	DUJ	DuBois Regional Airport	United States	41.182426	-78.89235
1940	DUT	Unalaska Airport	United States	53.898342	-166.54422
1943	DVL	Devils Lake Regional Airport 	United States	48.109062	-98.9039
1973	EAA	Eagle Airport	United States	39.64015	-106.913605
1980	EAR	Kearney Regional Airport	United States	40.727028	-99.006775
1982	EAT	Pangborn Memorial Airport	United States	47.398952	-120.2065
1983	EAU	Chippewa Valley Regional Airport	United States	44.86749	-91.48271
2003	ECP	Northwest Florida Beaches International Airport	United States	30.357824	-85.7938
2006	EDA	Edna Bay Seaplane Base	United States	55.96629	-133.79672
2020	EEK	Eek Airport	United States	60.214733	-162.0436
2029	EGE	Eagle County Regional Airport	United States	39.64015	-106.913605
2038	EGX	Egegik Airport 	United States	58.185787	-157.37573
2060	EKO	Elko Regional Airport	United States	40.82782	-115.78621
2067	ELD	South Arkansas Regional Airport at Goodwin Field	United States	33.219143	-92.81117
2072	ELI	Elim Airport	United States	64.61442	-162.27171
2076	ELM	Elmira/Corning Regional Airport	United States	42.15987	-76.89364
2079	ELP	El Paso International Airport	United States	31.805336	-106.38243
2085	ELV	Elfin Cove Seaplane Base	United States	58.195183	-136.3474
2105	ENA	Kenai Municipal Airport	United States	60.570545	-151.24619
2148	ERI	Erie International Airport 	United States	42.08396	-80.172165
2161	ESC	Delta County Airport	United States	45.71792	-87.09451
2162	ESD	Orcas Island Airport 	United States	48.708363	-122.910614
2192	EUG	Eugene Airport 	United States	44.12178	-123.2159
2205	EVV	Evansville Regional Airport	United States	38.043365	-87.527176
2208	EWB	New Bedford Regional Airport	United States	41.675297	-70.95819
2212	EWN	Coastal Carolina Regional Airport	United States	35.077644	-77.0382
2214	EWR	Newark Liberty International Airport	United States	40.689533	-74.17446
2215	EXI	Excursion Inlet Seaplane Base	United States	58.420498	-135.44904
2223	EYW	Key West International Airport	United States	24.55492	-81.75649
2234	FAI	Fairbanks International Airport	United States	64.816414	-147.86351
2240	FAR	Hector International Airport	United States	46.92193	-96.81807
2242	FAT	Fresno Yosemite International Airport	United States	36.77585	-119.71811
2245	FAY	Fayetteville Regional Airport 	United States	34.99258	-78.88467
2257	FCA	Glacier Park International Airport 	United States	48.307663	-114.25253
2295	FID	Elizabeth Field 	United States	41.252098	-72.03212
2315	FLG	Flagstaff Pulliam Airport	United States	35.140396	-111.670975
2318	FLL	Fort Lauderdale–Hollywood International Airport	United States	26.074234	-80.150604
2321	FLO	Florence Regional Airport	United States	34.19319	-79.728195
2349	FNL	Fort Collins–Loveland Municipal Airport	United States	40.449867	-105.00544
2351	FNT	Bishop International Airport	United States	42.973423	-83.73889
2356	FOD	Fort Dodge Regional Airport	United States	42.552433	-94.18903
2374	FRD	Friday Harbor Airport 	United States	48.524826	-123.026184
2376	FRG	Republic Airport	United States	40.726128	-73.416794
2393	FSD	Sioux Falls Regional Airport 	United States	43.582676	-96.74041
2397	FSM	Fort Smith Regional Airport	United States	35.33664	-94.36422
2424	FWA	Fort Wayne International Airport	United States	40.98287	-85.188446
2427	FXE	Fort Lauderdale Executive Airport	United States	26.197489	-80.17065
2434	FYU	Fort Yukon Airport	United States	66.57159	-145.24966
2447	GAL	Edward G. Pitka Sr. Airport	United States	64.73703	-156.95262
2448	GAM	Gambell Airport	United States	63.76883	-171.7335
2482	GCC	Gillette–Campbell County Airport	United States	44.348087	-105.53909
2487	GCK	Garden City Regional Airport	United States	37.92689	-100.71987
2489	GCN	Grand Canyon National Park Airport	United States	35.952602	-112.14442
2490	GCW	Grand Canyon West Airport[2] 	United States	35.987694	-113.82074
2507	GDV	Dawson Community Airport	United States	47.13889	-104.806946
2517	GEG	Spokane International Airport	United States	47.621746	-117.53481
2531	GFK	Grand Forks International Airport	United States	47.94286	-97.17658
2540	GGG	East Texas Regional Airport	United States	32.38771	-94.71915
2548	GGW	Glasgow Airport 	United States	48.212677	-106.616264
2577	GJT	Grand Junction Regional Airport 	United States	39.11958	-108.52879
